"Export date: 5/14/2020, 12:12:44 PM","","#","Product Name","Brand","Price","Mo. Sales","Mo. Revenue","Date First Available","Net","Reviews","Rating","Fees","LQS","Seller type","Category","ASIN","Link"
"","","29","Classic Traditional Solid 17 Inch Backpacks with Adjustable Padded Shoulder Straps","Trail maker","$7.99","665","$5313","","$3.6","502","4","$4.39","5","FBA","Clothing Shoes & Jewelry","B077T9BQPQ","https://www.amazon.com/Classic-Traditional-Backpacks-Adjustable-Shoulder/dp/B077T9BQPQ/ref=sr_1_29?crid=2NMN31U5AEZM6&dchild=1&keywords=backpack&qid=1589483396&sprefix=backpa%2Caps%2C1267&sr=8-29"
"","","30","Venture Pal 40L Lightweight Packable Waterproof Travel Hiking Backpack Daypack","Venture Pal","$22.99","2835","$65177","","$14.83","1531","4.5","$8.16","6","FBA","Sports & Outdoors","B07Q1Z1VYR","https://www.amazon.com/Venture-Pal-Lightweight-Packable-Backpack/dp/B07Q1Z1VYR/ref=sr_1_30?crid=2NMN31U5AEZM6&dchild=1&keywords=backpack&qid=1589483396&sprefix=backpa%2Caps%2C1267&sr=8-30"
"","","31","Modoker Travel Laptop Backpack for Womens Mens Fits 15.6 inch","Modoker","$23.99","15","$360","","$15.68","112","4.5","$8.31","5","FBA","","B07YG1B7ZJ","https://www.amazon.com/Backpack-Rucksack-Mens%EF%BC%8CModoker-Charging-Port%EF%BC%8CMultipurpose/dp/B07YG1B7ZJ/ref=sr_1_31?crid=2NMN31U5AEZM6&dchild=1&keywords=backpack&qid=1589483396&sprefix=backpa%2Caps%2C1267&sr=8-31"
"","","32","Billabong","Billabong","$36.40","60","$2184","","$22.92","46","4.5","$13.48","2","AMZ","Clothing Shoes & Jewelry","B00CLZLYX4","https://www.amazon.com/Billabong-Womens-Roadie-Backpack-Serape/dp/B00CLZLYX4/ref=sr_1_32?crid=2NMN31U5AEZM6&dchild=1&keywords=backpack&qid=1589483396&sprefix=backpa%2Caps%2C1267&sr=8-32"
"","","33","JANSPORT Right Pack","JanSport","$20.00","7","$140","","$9.14","17","4.5","$10.86","4","FBA","","B07NCBRMS5","https://www.amazon.com/Jansport-Right-Pack-Backpack-Including/dp/B07NCBRMS5/ref=sr_1_33?crid=2NMN31U5AEZM6&dchild=1&keywords=backpack&qid=1589483396&sprefix=backpa%2Caps%2C1267&sr=8-33"
"","","34","Tocode Laptop Backpack 17-Inch Bag with USB Charging Port & Headphone Port","Tocode","$34.99","97","$3394","","$24.59","2251","4.5","$10.4","6","FBA","","B07BF5W312","https://www.amazon.com/Tocode-Backpack-Multi-Function-Anti-Theft-Men-Black/dp/B07BF5W312/ref=sr_1_34?crid=2NMN31U5AEZM6&dchild=1&keywords=backpack&qid=1589483396&sprefix=backpa%2Caps%2C1267&sr=8-34"
"","","35","The North Face Vault Backpack","The North Face","$54.95","458","$25167","","$38.6","1","5","$16.35","2","","Clothing Shoes & Jewelry","B0764H5H1H","https://www.amazon.com/North-Face-Vault-Backpack-Heather/dp/B0764H5H1H/ref=sr_1_35?crid=2NMN31U5AEZM6&dchild=1&keywords=backpack&qid=1589483396&sprefix=backpa%2Caps%2C1267&sr=8-35"
"","","36","WolfWarriorX Men Backpacks Large Capacity Military Tactical Hiking Expandable 39L-60L Backpack","WolfWarriorX","$37.99","969","$36812","","$26.99","1071","4.5","$11","4","FBA","Sports & Outdoors","B077MPM91B","https://www.amazon.com/WolfWarriorX-Military-Tactical-Expandable-Waterproof/dp/B077MPM91B/ref=sr_1_36?crid=2NMN31U5AEZM6&dchild=1&keywords=backpack&qid=1589483396&sprefix=backpa%2Caps%2C1267&sr=8-36"
"","","37","MANCIO Slim Vintage Laptop Backpack For womenMen For TravelCollegeSchool Dayparks Fits up to 15.6Inch Macbook","MANCIO","$23.99","7","$168","","$15.68","1010","4.5","$8.31","5","FBA","","B07GTTYJMG","https://www.amazon.com/Backpack-Charging-Resistant-Business-College/dp/B07GTTYJMG/ref=sr_1_37?crid=2NMN31U5AEZM6&dchild=1&keywords=backpack&qid=1589483396&sprefix=backpa%2Caps%2C1267&sr=8-37"
"","","38","Laptop Backpack Women Men College Backpacks Bookbag Vintage Backpack Book Bag Fashion Back Pack Anti Theft Travel Backpacks with Charging Port fit 15.6 Inch Laptop Pink","HFSX","$24.99","170","$4248","","$16.53","867","4.5","$8.46","7","FBA","Laptop Backpacks","B0836KVC5N","https://www.amazon.com/Backpack-College-Backpacks-Bookbag-Charging/dp/B0836KVC5N/ref=sr_1_38?crid=2NMN31U5AEZM6&dchild=1&keywords=backpack&qid=1589483396&sprefix=backpa%2Caps%2C1267&sr=8-38"
