JUNGLESCOUT WEBAPP CSV EXPORT 
Report Generated at: Thu May 14 2020 12:11:54 GMT-0700 (Pacific Daylight Time)
ASIN ,Product Name ,Brand ,Category ,Est. Monthly Revenue ,Est. Monthly Sales ,Price ,Fees ,Net ,Rank ,Reviews ,LQS ,Sellers ,Buy Box Owner ,Rating ,Dimensions ,Product Tier ,Weight
"B07DLPT91J" ,"Tumi Men's Alpha Bravo Sheppard Deluxe Backpack  Black  One Size" ,"TUMI" ,"Clothing, Shoes & Jewelry" ,"$517,750.00" ,"1,090" ,"$475.00" ,"$80.79" ,"$394.21" ,"369,324" ,"66" ,"5" ,"5" ,"TSOL Designs" ,"4.6" ,"11.22" x 15.59" x 20.20"" ,"Oversize (Small)" ,"5.721 lbs"
"B07WST9BGK" ,"Savior Equipment Urban Warfare Tactical Double Carbine Long Rifle Bag Gun Case Firearm Backpack Pistol Handgun Case - Lockable Zipper  Padded Side Carry Strap  Available Length in 36" 42" 46" 51" 55"" ,"Savior Equipment" ,"Sports & Outdoors" ,"$511,833.06" ,"2,694" ,"$189.99" ,"N.A." ,"N.A." ,"1,502" ,"1197" ,"4" ,"1" ,"VIPMOTOZ" ,"4.9" ,"0.00" x 0.00" x 0.00"" ,"N.A." ,"10 lbs"
"B07Y2H3L89" ,"Savior Equipment Urban Warfare Tactical Double Carbine Long Rifle Bag Gun Case Firearm Backpack Pistol Handgun Case - Lockable Zipper  Padded Side Carry Strap  Available Length in 36" 42" 46" 51" 55"" ,"Savior Equipment" ,"Sports & Outdoors" ,"$508,651.74" ,"2,826" ,"$179.99" ,"N.A." ,"N.A." ,"1,227" ,"1189" ,"4" ,"1" ,"VIPMOTOZ" ,"4.9" ,"0.00" x 0.00" x 0.00"" ,"N.A." ,"9 lbs"
"B07WST9D7T" ,"Savior Equipment Urban Warfare Tactical Double Carbine Long Rifle Bag Gun Case Firearm Backpack Pistol Handgun Case - Lockable Zipper  Padded Side Carry Strap  Available Length in 36" 42" 46" 51" 55"" ,"Savior Equipment" ,"Sports & Outdoors" ,"$482,431.62" ,"2,838" ,"$169.99" ,"N.A." ,"N.A." ,"977" ,"1191" ,"4" ,"1" ,"VIPMOTOZ" ,"4.9" ,"0.00" x 0.00" x 0.00"" ,"N.A." ,"6 lbs"
"B07WVVZ6QV" ,"Savior Equipment Urban Warfare Tactical Double Carbine Long Rifle Bag Gun Case Firearm Backpack Pistol Handgun Case - Lockable Zipper  Padded Side Carry Strap  Available Length in 36" 42" 46" 51" 55"" ,"Savior Equipment" ,"Sports & Outdoors" ,"$465,092.64" ,"2,736" ,"$169.99" ,"N.A." ,"N.A." ,"1,006" ,"1196" ,"4" ,"1" ,"VIPMOTOZ" ,"4.9" ,"0.00" x 0.00" x 0.00"" ,"N.A." ,"8 lbs"
"B07WST8RR3" ,"Savior Equipment Urban Warfare Tactical Double Carbine Long Rifle Bag Gun Case Firearm Backpack Pistol Handgun Case - Lockable Zipper  Padded Side Carry Strap  Available Length in 36" 42" 46" 51" 55"" ,"Savior Equipment" ,"Sports & Outdoors" ,"$457,953.06" ,"2,694" ,"$169.99" ,"N.A." ,"N.A." ,"1,006" ,"1196" ,"4" ,"1" ,"VIPMOTOZ" ,"4.9" ,"0.00" x 0.00" x 0.00"" ,"N.A." ,"7 lbs"
"B07C2JMCKQ" ,"Savior Equipment American Classic Tactical Double Long Rifle Pistol Gun Bag Firearm Transportation Case w/Backpack - Lockable Compartment  Available Length in 36" 42" 46" 51" 55"" ,"Savior Equipment" ,"Sports & Outdoors" ,"$443,466.25" ,"5,125" ,"$86.53" ,"N.A." ,"N.A." ,"561" ,"2548" ,"6" ,"1" ,"VIPMOTOZ" ,"4.9" ,"0.00" x 0.00" x 0.00"" ,"N.A." ,"10 lbs"
"B07WST9KH9" ,"Savior Equipment Urban Warfare Tactical Double Carbine Long Rifle Bag Gun Case Firearm Backpack Pistol Handgun Case - Lockable Zipper  Padded Side Carry Strap  Available Length in 36" 42" 46" 51" 55"" ,"Savior Equipment" ,"Sports & Outdoors" ,"$442,775.40" ,"2,460" ,"$179.99" ,"$38.93" ,"$141.06" ,"1,460" ,"1202" ,"4" ,"1" ,"VIPMOTOZ" ,"4.9" ,"14.00" x 5.00" x 53.00"" ,"Oversize (Small)" ,"12 lbs"
"B07C2QPC6M" ,"Savior Equipment American Classic Tactical Double Long Rifle Pistol Gun Bag Firearm Transportation Case w/Backpack - Lockable Compartment  Available Length in 36" 42" 46" 51" 55"" ,"Savior Equipment" ,"Sports & Outdoors" ,"$438,271.05" ,"5,117" ,"$85.65" ,"N.A." ,"N.A." ,"564" ,"2548" ,"6" ,"1" ,"VIPMOTOZ" ,"4.9" ,"0.00" x 0.00" x 0.00"" ,"N.A." ,"10 lbs"
"B07Y2FV4BW" ,"Savior Equipment Urban Warfare Tactical Double Carbine Long Rifle Bag Gun Case Firearm Backpack Pistol Handgun Case - Lockable Zipper  Padded Side Carry Strap  Available Length in 36" 42" 46" 51" 55"" ,"Savior Equipment" ,"Sports & Outdoors" ,"$434,852.82" ,"2,718" ,"$159.99" ,"N.A." ,"N.A." ,"973" ,"1196" ,"4" ,"1" ,"VIPMOTOZ" ,"4.9" ,"0.00" x 0.00" x 0.00"" ,"N.A." ,"7 lbs"
"B07Y2FSTS1" ,"Savior Equipment Urban Warfare Tactical Double Carbine Long Rifle Bag Gun Case Firearm Backpack Pistol Handgun Case - Lockable Zipper  Padded Side Carry Strap  Available Length in 36" 42" 46" 51" 55"" ,"Savior Equipment" ,"Sports & Outdoors" ,"$434,671.02" ,"2,898" ,"$149.99" ,"N.A." ,"N.A." ,"1,185" ,"1189" ,"4" ,"1" ,"VIPMOTOZ" ,"4.9" ,"0.00" x 0.00" x 0.00"" ,"N.A." ,"6 lbs"
"B07TV1J4KW" ,"Holy Stone HS120D GPS Drone with Camera for Adults 1080p HD FPV  Quadcotper with Auto Return Home  Follow Me  Altitude Hold  Tap Fly Functions  Includes 2 Batteries and Carrying Backpack" ,"Holy Stone" ,"Toys & Games" ,"$428,983.96" ,"2,804" ,"$152.99" ,"$28.42" ,"$124.57" ,"1,145" ,"860" ,"4" ,"1" ,"DeeRC" ,"4.4" ,"6.61" x 12.24" x 15.20"" ,"Standard (Large)" ,"4.0058 lbs"
"B08353V2J1" ,"Himawari Travel School Backpack with USB Charging Port 15.6 Inch Doctor Work Bag for Women&Men College Students(123#Lavender)" ,"himawari" ,"Clothing, Shoes & Jewelry" ,"$419,922.30" ,"10,770" ,"$38.99" ,"$10.56" ,"$28.43" ,"270,187" ,"1779" ,"6" ,"1" ,"Himawari Direct-sale Store" ,"4.6" ,"3.00" x 12.12" x 18.00"" ,"Standard (Large)" ,"1.6491 lbs"
"B07C279XVV" ,"Savior Equipment American Classic Tactical Double Long Rifle Pistol Gun Bag Firearm Transportation Case w/Backpack - Lockable Compartment  Available Length in 36" 42" 46" 51" 55"" ,"Savior Equipment" ,"Sports & Outdoors" ,"$419,859.40" ,"5,114" ,"$82.10" ,"N.A." ,"N.A." ,"564" ,"2548" ,"6" ,"1" ,"VIPMOTOZ" ,"4.9" ,"0.00" x 0.00" x 0.00"" ,"N.A." ,"10 lbs"
"B07Y2GT48X" ,"Savior Equipment Urban Warfare Tactical Double Carbine Long Rifle Bag Gun Case Firearm Backpack Pistol Handgun Case - Lockable Zipper  Padded Side Carry Strap  Available Length in 36" 42" 46" 51" 55"" ,"Savior Equipment" ,"Sports & Outdoors" ,"$418,175.40" ,"2,460" ,"$169.99" ,"$36.67" ,"$133.32" ,"1,616" ,"1203" ,"4" ,"1" ,"VIPMOTOZ" ,"4.9" ,"14.00" x 5.00" x 48.00"" ,"Oversize (Small)" ,"10 lbs"
"B07C2JRHY3" ,"Savior Equipment American Classic Tactical Double Long Rifle Pistol Gun Bag Firearm Transportation Case w/Backpack - Lockable Compartment  Available Length in 36" 42" 46" 51" 55"" ,"Savior Equipment" ,"Sports & Outdoors" ,"$415,470.36" ,"5,116" ,"$81.21" ,"N.A." ,"N.A." ,"564" ,"2548" ,"6" ,"1" ,"VIPMOTOZ" ,"4.9" ,"0.00" x 0.00" x 0.00"" ,"N.A." ,"10 lbs"
"B07JBWRQPM" ,"Ultimaxx Hard Shell Anti-Shock Carrying Case Travel Backpack for DJI Mavic 2 Pro/Zoom Drones" ,"Ultimaxx" ,"Toys & Games" ,"$388,179.06" ,"11,094" ,"$34.99" ,"$13.51" ,"$21.48" ,"152,612" ,"73" ,"4" ,"1" ,"Fumfie" ,"4.1" ,"6.10" x 13.80" x 18.80"" ,"Oversize (Small)" ,"2.3501 lbs"
"B07BKMXZC9" ,"Savior Equipment American Classic Tactical Double Long Rifle Pistol Gun Bag Firearm Transportation Case w/Backpack - Lockable Compartment  Available Length in 36" 42" 46" 51" 55"" ,"Savior Equipment" ,"Sports & Outdoors" ,"$385,101.00" ,"5,034" ,"$76.50" ,"N.A." ,"N.A." ,"526" ,"2522" ,"6" ,"2" ,"VIPMOTOZ" ,"4.9" ,"0.00" x 0.00" x 0.00"" ,"N.A." ,"9 lbs"
"B07BKPP7XS" ,"Savior Equipment American Classic Tactical Double Long Rifle Pistol Gun Bag Firearm Transportation Case w/Backpack - Lockable Compartment  Available Length in 36" 42" 46" 51" 55"" ,"Savior Equipment" ,"Sports & Outdoors" ,"$379,862.60" ,"5,018" ,"$75.70" ,"N.A." ,"N.A." ,"595" ,"2530" ,"6" ,"2" ,"VIPMOTOZ" ,"4.9" ,"0.00" x 0.00" x 0.00"" ,"N.A." ,"9 lbs"
"B07SPY44B3" ,"Savior Equipment American Classic Tactical Double Long Rifle Pistol Gun Bag Firearm Transportation Case w/Backpack - Lockable Compartment  Available Length in 36" 42" 46" 51" 55"" ,"Savior Equipment" ,"Sports & Outdoors" ,"$342,525.96" ,"5,418" ,"$63.22" ,"N.A." ,"N.A." ,"380" ,"2500" ,"6" ,"2" ,"VIPMOTOZ" ,"4.9" ,"0.00" x 0.00" x 0.00"" ,"N.A." ,"12 lbs"
"B07SPJDCJ8" ,"Savior Equipment American Classic Tactical Double Long Rifle Pistol Gun Bag Firearm Transportation Case w/Backpack - Lockable Compartment  Available Length in 36" 42" 46" 51" 55"" ,"Savior Equipment" ,"Sports & Outdoors" ,"$339,334.62" ,"5,406" ,"$62.77" ,"N.A." ,"N.A." ,"439" ,"2505" ,"6" ,"2" ,"VIPMOTOZ" ,"4.9" ,"0.00" x 0.00" x 0.00"" ,"N.A." ,"12 lbs"
"B06XZTZ7GB" ,"Travel Laptop Backpack  Business Anti Theft Slim Durable Laptops Backpack with USB Charging Port  Water Resistant College School Computer Bag Gifts for Men & Women Fits 15.6 Inch Notebook  Grey" ,"MATEIN" ,"Laptop Backpacks" ,"$337,957.31" ,"11,269" ,"$29.99" ,"$9.23" ,"$20.76" ,"1" ,"14258" ,"7" ,"1" ,"YoTwo" ,"4.7" ,"4.80" x 10.20" x 13.10"" ,"Standard (Large)" ,"2.0503 lbs"
"B07Z2RZ1L2" ,"D.B. Smith Field King Professional 190328 No Leak Pump Backpack Sprayer for Killing Weeds in Lawns and Gardens (Pack of 3)" ,"D.B. Smith" ,"Patio, Lawn & Garden" ,"$331,362.90" ,"990" ,"$334.71" ,"N.A." ,"N.A." ,"4,047" ,"762" ,"5" ,"3" ,"DDA DISTRIBUTORS LLC" ,"4.5" ,"0.00" x 0.00" x 0.00"" ,"N.A." ,"0 lbs"
"B077JMMT3F" ,"Savior Equipment American Classic Tactical Double Long Rifle Pistol Gun Bag Firearm Transportation Case w/Backpack - Lockable Compartment  Available Length in 36" 42" 46" 51" 55"" ,"Savior Equipment" ,"Sports & Outdoors" ,"$327,341.98" ,"5,138" ,"$63.71" ,"N.A." ,"N.A." ,"561" ,"2548" ,"6" ,"1" ,"VIPMOTOZ" ,"4.9" ,"0.00" x 0.00" x 0.00"" ,"N.A." ,"10 lbs"
"B077JPNZ6Z" ,"Savior Equipment American Classic Tactical Double Long Rifle Pistol Gun Bag Firearm Transportation Case w/Backpack - Lockable Compartment  Available Length in 36" 42" 46" 51" 55"" ,"Savior Equipment" ,"Sports & Outdoors" ,"$326,386.33" ,"5,123" ,"$63.71" ,"N.A." ,"N.A." ,"564" ,"2548" ,"4" ,"1" ,"VIPMOTOZ" ,"4.9" ,"0.00" x 0.00" x 0.00"" ,"N.A." ,"10 lbs"
"B077JMJJH6" ,"Savior Equipment American Classic Tactical Double Long Rifle Pistol Gun Bag Firearm Transportation Case w/Backpack - Lockable Compartment  Available Length in 36" 42" 46" 51" 55"" ,"Savior Equipment" ,"Sports & Outdoors" ,"$326,258.91" ,"5,121" ,"$63.71" ,"N.A." ,"N.A." ,"564" ,"2548" ,"4" ,"1" ,"VIPMOTOZ" ,"4.9" ,"0.00" x 0.00" x 0.00"" ,"N.A." ,"10 lbs"
"B07SPJDGR3" ,"Savior Equipment American Classic Tactical Double Long Rifle Pistol Gun Bag Firearm Transportation Case w/Backpack - Lockable Compartment  Available Length in 36" 42" 46" 51" 55"" ,"Savior Equipment" ,"Sports & Outdoors" ,"$325,876.65" ,"5,115" ,"$63.71" ,"N.A." ,"N.A." ,"561" ,"2548" ,"6" ,"1" ,"VIPMOTOZ" ,"4.9" ,"0.00" x 0.00" x 0.00"" ,"N.A." ,"12 lbs"
