JUNGLESCOUT WEBAPP CSV EXPORT 
Report Generated at: Thu May 14 2020 12:11:54 GMT-0700 (Pacific Daylight Time)
ASIN ,Product Name ,Brand ,Category ,Est. Monthly Revenue ,Est. Monthly Sales ,Price ,Fees ,Net ,Rank ,Reviews ,LQS ,Sellers ,Buy Box Owner ,Rating ,Dimensions ,Product Tier ,Weight
"B07LD1QSSN" ,"Savior Equipment Urban Warfare Tactical Double Carbine Long Rifle Bag Gun Case Firearm Backpack Pistol Handgun Case - Lockable Zipper  Padded Side Carry Strap  Available Length in 36" 42" 46" 51" 55"" ,"Savior Equipment" ,"Sports & Outdoors" ,"$258,752.76" ,"2,724" ,"$94.99" ,"N.A." ,"N.A." ,"2,006" ,"1218" ,"4" ,"1" ,"VIPMOTOZ" ,"4.9" ,"0.00" x 0.00" x 0.00"" ,"N.A." ,"14 lbs"
"B00AKKDSNG" ,"Lotus Travel Crib - Backpack Portable  Lightweight  Easy to Pack Play-Yard with Comfortable Mattress - Certified Baby Safe" ,"Guava Family" ,"Baby" ,"$258,742.00" ,"1,238" ,"$209.00" ,"$45.18" ,"$163.82" ,"2,707" ,"917" ,"4" ,"2" ,"Guava Family" ,"4.7" ,"10.00" x 13.00" x 25.00"" ,"Oversize (Small)" ,"16.9998 lbs"
"B00ZSQWWQG" ,"Lotus Travel Crib - Backpack Portable  Lightweight  Easy to Pack Play-Yard with Comfortable Mattress - Certified Baby Safe" ,"Guava Family" ,"Baby" ,"$258,742.00" ,"1,238" ,"$209.00" ,"N.A." ,"N.A." ,"2,742" ,"917" ,"5" ,"2" ,"Guava Family" ,"4.7" ,"N.A." ,"N.A." ,"N.A."
"B01C3OHIZA" ,"Lotus Travel Crib - Backpack Portable  Lightweight  Easy to Pack Play-Yard with Comfortable Mattress - Certified Baby Safe" ,"Guava Family" ,"Baby" ,"$256,861.00" ,"1,229" ,"$209.00" ,"N.A." ,"N.A." ,"2,742" ,"917" ,"5" ,"2" ,"Guava Family" ,"4.7" ,"N.A." ,"N.A." ,"N.A."
"B07QLB7K15" ,"Savior Equipment Urban Warfare Tactical Double Carbine Long Rifle Bag Gun Case Firearm Backpack Pistol Handgun Case - Lockable Zipper  Padded Side Carry Strap  Available Length in 36" 42" 46" 51" 55"" ,"Savior Equipment" ,"Sports & Outdoors" ,"$255,931.56" ,"2,844" ,"$89.99" ,"$25.81" ,"$64.18" ,"977" ,"1191" ,"4" ,"1" ,"VIPMOTOZ" ,"4.9" ,"53.00" x 14.00" x 5.00"" ,"Oversize (Small)" ,"13 lbs"
"B07QQG5CP8" ,"Savior Equipment Urban Warfare Tactical Double Carbine Long Rifle Bag Gun Case Firearm Backpack Pistol Handgun Case - Lockable Zipper  Padded Side Carry Strap  Available Length in 36" 42" 46" 51" 55"" ,"Savior Equipment" ,"Sports & Outdoors" ,"$255,391.62" ,"2,838" ,"$89.99" ,"$25.81" ,"$64.18" ,"977" ,"1191" ,"4" ,"1" ,"VIPMOTOZ" ,"4.9" ,"53.00" x 14.00" x 5.00"" ,"Oversize (Small)" ,"13 lbs"
"B01BOC5QNS" ,"Hoover Commercial Lightweight Backpack Vacuum  C2401 Black" ,"Hoover Commercial" ,"Industrial & Scientific" ,"$254,568.00" ,"1,200" ,"$212.14" ,"N.A." ,"N.A." ,"1,449" ,"841" ,"6" ,"1" ,"Amazon.com" ,"4.3" ,"N.A." ,"N.A." ,"N.A."
"B005NASZG8" ,"Hoover Commercial Lightweight Backpack Vacuum  C2401 Black" ,"Hoover Commercial" ,"Industrial & Scientific" ,"$252,870.88" ,"1,192" ,"$212.14" ,"$40.92" ,"$171.22" ,"1,582" ,"841" ,"3" ,"1" ,"Amazon.com" ,"4.3" ,"12.99" x 12.99" x 29.49"" ,"Oversize (Small)" ,"21.3011 lbs"
"B001DSK9V8" ,"Hoover Commercial Lightweight Backpack Vacuum  C2401 Black" ,"Hoover Commercial" ,"Industrial & Scientific" ,"$250,313.40" ,"1,180" ,"$212.13" ,"$40.98" ,"$171.15" ,"1,467" ,"841" ,"4" ,"1" ,"Amazon.com" ,"4.3" ,"29.80" x 13.40" x 13.30"" ,"Oversize (Small)" ,"21.45 lbs"
"B07LD4GN61" ,"Savior Equipment Urban Warfare Tactical Double Carbine Long Rifle Bag Gun Case Firearm Backpack Pistol Handgun Case - Lockable Zipper  Padded Side Carry Strap  Available Length in 36" 42" 46" 51" 55"" ,"Savior Equipment" ,"Sports & Outdoors" ,"$249,633.72" ,"2,628" ,"$94.99" ,"N.A." ,"N.A." ,"2,011" ,"1220" ,"4" ,"1" ,"VIPMOTOZ" ,"4.9" ,"0.00" x 0.00" x 0.00"" ,"N.A." ,"14 lbs"
"B07BFBHG31" ,"FunWater Inflatable 10'6×33"×6" Ultra-Light (17.6lbs) SUP for All Skill Levels Everything Included with Stand Up Paddle Board  Adj Paddle  Pump  ISUP Travel Backpack  Leash  Waterproof Bag" ,"FunWater" ,"Sports & Outdoors" ,"$248,035.70" ,"886" ,"$279.95" ,"$60.37" ,"$219.58" ,"11,065" ,"468" ,"6" ,"1" ,"Sparkle SUP Paddle Board" ,"4.5" ,"37.40" x 17.72" x 7.87"" ,"Oversize (Small)" ,"28.97 lbs"
"B07MC3TNMM" ,"FunWater Inflatable 10'6×33"×6" Ultra-Light (17.6lbs) SUP for All Skill Levels Everything Included with Stand Up Paddle Board  Adj Paddle  Pump  ISUP Travel Backpack  Leash  Waterproof Bag" ,"FunWater" ,"Sports & Outdoors" ,"$247,475.80" ,"884" ,"$279.95" ,"$60.44" ,"$219.51" ,"11,065" ,"468" ,"6" ,"1" ,"Sparkle SUP Paddle Board" ,"4.5" ,"7.50" x 16.00" x 34.50"" ,"Oversize (Small)" ,"29.1495 lbs"
"B07QLBPZ1L" ,"Savior Equipment Urban Warfare Tactical Double Carbine Long Rifle Bag Gun Case Firearm Backpack Pistol Handgun Case - Lockable Zipper  Padded Side Carry Strap  Available Length in 36" 42" 46" 51" 55"" ,"Savior Equipment" ,"Sports & Outdoors" ,"$245,132.76" ,"2,724" ,"$89.99" ,"$25.81" ,"$64.18" ,"973" ,"1196" ,"4" ,"1" ,"VIPMOTOZ" ,"4.9" ,"53.00" x 14.00" x 5.00"" ,"Oversize (Small)" ,"13 lbs"
"B07LD3DYLX" ,"Savior Equipment Urban Warfare Tactical Double Carbine Long Rifle Bag Gun Case Firearm Backpack Pistol Handgun Case - Lockable Zipper  Padded Side Carry Strap  Available Length in 36" 42" 46" 51" 55"" ,"Savior Equipment" ,"Sports & Outdoors" ,"$242,794.44" ,"2,556" ,"$94.99" ,"N.A." ,"N.A." ,"1,889" ,"1218" ,"4" ,"1" ,"VIPMOTOZ" ,"4.9" ,"0.00" x 0.00" x 0.00"" ,"N.A." ,"14 lbs"
"B000AYHKUO" ,"Field King Professional 190328 No Leak Pump Backpack Sprayer for Killing Weeds in Lawns and Gardens" ,"D.B. Smith" ,"Patio, Lawn & Garden" ,"$241,434.38" ,"2,654" ,"$90.97" ,"$26.01" ,"$64.96" ,"1,240" ,"1013" ,"4" ,"9" ,"Amazon.com" ,"4.5" ,"22.60" x 15.00" x 9.80"" ,"Oversize (Small)" ,"13.15 lbs"
"B07L9RC1T1" ,"Himawari Travel School Backpack with USB Charging Port 15.6 Inch Doctor Work Bag for Women&Men College Students(123#Lavender)" ,"himawari" ,"Clothing, Shoes & Jewelry" ,"$237,449.10" ,"6,090" ,"$38.99" ,"$13.83" ,"$25.16" ,"274,817" ,"1779" ,"4" ,"1" ,"Himawari Direct-sale Store" ,"4.6" ,"3.39" x 14.29" x 17.99"" ,"Oversize (Small)" ,"1.6006 lbs"
"B07QRND5MV" ,"Savior Equipment Urban Warfare Tactical Double Carbine Long Rifle Bag Gun Case Firearm Backpack Pistol Handgun Case - Lockable Zipper  Padded Side Carry Strap  Available Length in 36" 42" 46" 51" 55"" ,"Savior Equipment" ,"Sports & Outdoors" ,"$230,914.34" ,"2,566" ,"$89.99" ,"$25.81" ,"$64.18" ,"2,011" ,"1220" ,"4" ,"1" ,"VIPMOTOZ" ,"4.9" ,"53.00" x 14.00" x 5.00"" ,"Oversize (Small)" ,"13 lbs"
"B0096XOV48" ,"Hoover Commercial Lightweight Backpack Vacuum  C2401 Black" ,"Hoover Commercial" ,"Industrial & Scientific" ,"$222,747.00" ,"1,050" ,"$212.14" ,"N.A." ,"N.A." ,"1,176" ,"836" ,"4" ,"1" ,"Amazon.com" ,"4.3" ,"0.00" x 0.00" x 0.00"" ,"N.A." ,"0 lbs"
"B075Y4Y9T3" ,"MindShift Gear Backlight 36L Backpack (Charcoal)" ,"MindShift" ,"Sports & Outdoors" ,"$219,926.52" ,"948" ,"$231.99" ,"$44.22" ,"$187.77" ,"365,037" ,"20" ,"2" ,"18" ,"Adorama" ,"4.7" ,"21.50" x 13.19" x 10.00"" ,"Oversize (Small)" ,"5.4 lbs"
"B07F9K72CN" ,"Savior Equipment Urban Warfare Tactical Double Carbine Long Rifle Bag Gun Case Firearm Backpack Pistol Handgun Case - Lockable Zipper  Padded Side Carry Strap  Available Length in 36" 42" 46" 51" 55"" ,"Savior Equipment" ,"Sports & Outdoors" ,"$213,154.92" ,"2,508" ,"$84.99" ,"N.A." ,"N.A." ,"1,786" ,"1203" ,"4" ,"1" ,"VM Express" ,"4.9" ,"0.00" x 0.00" x 0.00"" ,"N.A." ,"8 lbs"
"B07G8VJ48T" ,"Savior Equipment Urban Warfare Tactical Double Carbine Long Rifle Bag Gun Case Firearm Backpack Pistol Handgun Case - Lockable Zipper  Padded Side Carry Strap  Available Length in 36" 42" 46" 51" 55"" ,"Savior Equipment" ,"Sports & Outdoors" ,"$209,720.76" ,"2,724" ,"$76.99" ,"N.A." ,"N.A." ,"2,006" ,"1218" ,"4" ,"2" ,"VIPMOTOZ" ,"4.9" ,"0.00" x 0.00" x 0.00"" ,"N.A." ,"9 lbs"
"B081PPWL8V" ,"Abshoo Classical Basic Womens Travel Backpack For College Men Water Resistant Laptop School Bookbag (USB Red)" ,"abshoo" ,"Clothing, Shoes & Jewelry" ,"$206,350.82" ,"7,118" ,"$28.99" ,"$9.06" ,"$19.93" ,"158,528" ,"95" ,"6" ,"1" ,"Abshoo" ,"4.6" ,"1.80" x 13.00" x 16.00"" ,"Standard (Large)" ,"1.1993 lbs"
"B07JG43YPK" ,"Diaper Bag Backpack  Mokaloo Large Baby Bag  Multi-functional Travel Back Pack  Anti-Water Maternity Nappy Bag Changing Bags with Insulated Pockets Stroller Straps and Built-in USB Charging Port  Gray" ,"Mokaloo" ,"Baby" ,"$205,949.52" ,"5,724" ,"$35.98" ,"$10.11" ,"$25.87" ,"629" ,"1946" ,"6" ,"2" ,"MokalooDirect" ,"4.7" ,"3.80" x 8.50" x 12.90"" ,"Standard (Large)" ,"1.6491 lbs"
"B07G3J2CNL" ,"Savior Equipment Urban Warfare Tactical Double Carbine Long Rifle Bag Gun Case Firearm Backpack Pistol Handgun Case - Lockable Zipper  Padded Side Carry Strap  Available Length in 36" 42" 46" 51" 55"" ,"Savior Equipment" ,"Sports & Outdoors" ,"$198,326.24" ,"2,576" ,"$76.99" ,"N.A." ,"N.A." ,"2,011" ,"1220" ,"4" ,"2" ,"VIPMOTOZ" ,"4.9" ,"0.00" x 0.00" x 0.00"" ,"N.A." ,"9 lbs"
"B07FXYD25Y" ,"Savior Equipment Urban Warfare Tactical Double Carbine Long Rifle Bag Gun Case Firearm Backpack Pistol Handgun Case - Lockable Zipper  Padded Side Carry Strap  Available Length in 36" 42" 46" 51" 55"" ,"Savior Equipment" ,"Sports & Outdoors" ,"$196,786.44" ,"2,556" ,"$76.99" ,"N.A." ,"N.A." ,"2,011" ,"1220" ,"4" ,"2" ,"VIPMOTOZ" ,"4.9" ,"0.00" x 0.00" x 0.00"" ,"N.A." ,"7 lbs"
"B07F9M8GH8" ,"Savior Equipment Urban Warfare Tactical Double Carbine Long Rifle Bag Gun Case Firearm Backpack Pistol Handgun Case - Lockable Zipper  Padded Side Carry Strap  Available Length in 36" 42" 46" 51" 55"" ,"Savior Equipment" ,"Sports & Outdoors" ,"$196,555.47" ,"2,553" ,"$76.99" ,"$22.72" ,"$54.27" ,"1,975" ,"1220" ,"4" ,"2" ,"VIPMOTOZ" ,"4.9" ,"37.00" x 14.00" x 5.00"" ,"Oversize (Small)" ,"10 lbs"
"B07FDP7CDM" ,"Savior Equipment Urban Warfare Tactical Double Carbine Long Rifle Bag Gun Case Firearm Backpack Pistol Handgun Case - Lockable Zipper  Padded Side Carry Strap  Available Length in 36" 42" 46" 51" 55"" ,"Savior Equipment" ,"Sports & Outdoors" ,"$196,016.54" ,"2,546" ,"$76.99" ,"N.A." ,"N.A." ,"2,011" ,"1220" ,"4" ,"1" ,"VIPMOTOZ" ,"4.9" ,"0.00" x 0.00" x 0.00"" ,"N.A." ,"8 lbs"
"B0170OLDA4" ,"GV ProTeam Super CoachVac Commercial Backpack Vacuum Cleaner With Power head Grey 1. 8pc powerhead kit & 10 bags" ,"ProTeam" ,"Industrial & Scientific" ,"$195,872.40" ,"360" ,"$544.09" ,"$83.57" ,"$460.52" ,"3,015" ,"392" ,"5" ,"1" ,"Great-Vacs" ,"4.5" ,"31.10" x 13.60" x 13.50"" ,"Oversize (Small)" ,"28.7 lbs"
"B084THTD3X" ,"2020 Acer Spin 11 2-in-1 11.6" IPS Touch-Screen Convertible Chromebook  Intel Celeron Dual-Core N3350  4GB DDR4  32GB eMMC  10-Hour Battery /Legendary Computer Backpack & Mouse Pad Bundle" ,"Acer" ,"Electronics" ,"$191,094.54" ,"546" ,"$349.99" ,"$62.45" ,"$287.54" ,"6,468" ,"32" ,"4" ,"1" ,"Legendary Computer" ,"4.1" ,"5.50" x 15.00" x 22.50"" ,"Oversize (Small)" ,"6.7991 lbs"
"B07FXZK99N" ,"Savior Equipment Urban Warfare Tactical Double Carbine Long Rifle Bag Gun Case Firearm Backpack Pistol Handgun Case - Lockable Zipper  Padded Side Carry Strap  Available Length in 36" 42" 46" 51" 55"" ,"Savior Equipment" ,"Sports & Outdoors" ,"$190,781.22" ,"2,478" ,"$76.99" ,"N.A." ,"N.A." ,"1,701" ,"1199" ,"4" ,"2" ,"VIPMOTOZ" ,"4.9" ,"0.00" x 0.00" x 0.00"" ,"N.A." ,"7 lbs"
"B075SZQN9Q" ,"Travel Laptop Backpack Water Resistant Anti-Theft Bag with USB Charging Port and Lock 14/15.6 Inch Computer Business Backpacks for Women Men College School Student Gift Bookbag Casual Hiking Daypack" ,"Tzowla" ,"Laptop Backpacks" ,"$189,417.15" ,"6,777" ,"$27.95" ,"$8.90" ,"$19.05" ,"4" ,"5244" ,"6" ,"1" ,"TzowlaDirect" ,"4.6" ,"2.40" x 12.80" x 17.20"" ,"Standard (Large)" ,"1.8497 lbs"
"B07FY321GW" ,"Savior Equipment Urban Warfare Tactical Double Carbine Long Rifle Bag Gun Case Firearm Backpack Pistol Handgun Case - Lockable Zipper  Padded Side Carry Strap  Available Length in 36" 42" 46" 51" 55"" ,"Savior Equipment" ,"Sports & Outdoors" ,"$184,112.10" ,"2,790" ,"$65.99" ,"N.A." ,"N.A." ,"1,227" ,"1189" ,"4" ,"1" ,"VIPMOTOZ" ,"4.9" ,"0.00" x 0.00" x 0.00"" ,"N.A." ,"7 lbs"
"B07G8TSQL9" ,"Savior Equipment Urban Warfare Tactical Double Carbine Long Rifle Bag Gun Case Firearm Backpack Pistol Handgun Case - Lockable Zipper  Padded Side Carry Strap  Available Length in 36" 42" 46" 51" 55"" ,"Savior Equipment" ,"Sports & Outdoors" ,"$182,132.40" ,"2,760" ,"$65.99" ,"N.A." ,"N.A." ,"1,093" ,"1197" ,"4" ,"1" ,"VIPMOTOZ" ,"4.9" ,"0.00" x 0.00" x 0.00"" ,"N.A." ,"9 lbs"
"B07G3LB8QN" ,"Savior Equipment Urban Warfare Tactical Double Carbine Long Rifle Bag Gun Case Firearm Backpack Pistol Handgun Case - Lockable Zipper  Padded Side Carry Strap  Available Length in 36" 42" 46" 51" 55"" ,"Savior Equipment" ,"Sports & Outdoors" ,"$181,624.05" ,"2,595" ,"$69.99" ,"$20.62" ,"$49.37" ,"1,786" ,"1204" ,"4" ,"1" ,"VIPMOTOZ" ,"4.9" ,"3.94" x 13.78" x 41.73"" ,"Oversize (Small)" ,"7.2312 lbs"
"B0842C6YBC" ,"YETI Hopper Backflip 24 Soft Sided Cooler/Backpack" ,"YETI" ,"Sports & Outdoors" ,"$179,994.00" ,"600" ,"$299.99" ,"N.A." ,"N.A." ,"7,750" ,"200" ,"3" ,"2" ,"YETI Authorized" ,"4.7" ,"11.30" x 14.90" x 21.00"" ,"N.A." ,"7.5001 lbs"
"B0842BQ8NV" ,"YETI Hopper Backflip 24 Soft Sided Cooler/Backpack" ,"YETI" ,"Sports & Outdoors" ,"$177,894.07" ,"593" ,"$299.99" ,"$55.18" ,"$244.81" ,"4,688" ,"201" ,"3" ,"2" ,"YETI Authorized" ,"4.7" ,"11.25" x 15.00" x 20.75"" ,"Oversize (Small)" ,"7.4009 lbs"
"B07Y1VJLXQ" ,"Kah&Kee Polyester Travel Backpack Functional Anti-theft School Laptop for Women Men (Linen Gray  Large)" ,"Kah&Kee" ,"Clothing, Shoes & Jewelry" ,"$177,794.40" ,"4,560" ,"$38.99" ,"$10.56" ,"$28.43" ,"266,402" ,"634" ,"6" ,"1" ,"Kah&Kee" ,"4.6" ,"1.81" x 12.91" x 16.54"" ,"Standard (Large)" ,"1.8519 lbs"
"B071ZYHCM6" ,"Backpacks for Men  Extra Large Travel Laptop Backpack Gifts for Women Men with USB Charging Port TSA Friendly Business Computer Bag College High School Bookbags Fit 17 Inch Laptops 45L Black" ,"YOREPEK" ,"Electronics" ,"$176,476.08" ,"5,192" ,"$33.99" ,"$10.09" ,"$23.90" ,"5" ,"7818" ,"7" ,"2" ,"Jamesay" ,"4.7" ,"15.35" x 12.40" x 5.85"" ,"Standard (Large)" ,"2.73 lbs"
"B07G3KT618" ,"Savior Equipment Urban Warfare Tactical Double Carbine Long Rifle Bag Gun Case Firearm Backpack Pistol Handgun Case - Lockable Zipper  Padded Side Carry Strap  Available Length in 36" 42" 46" 51" 55"" ,"Savior Equipment" ,"Sports & Outdoors" ,"$170,650.14" ,"2,586" ,"$65.99" ,"N.A." ,"N.A." ,"1,563" ,"1215" ,"4" ,"2" ,"VIPMOTOZ" ,"4.9" ,"0.00" x 0.00" x 0.00"" ,"N.A." ,"9 lbs"
"B07G3NN5HM" ,"Savior Equipment Urban Warfare Tactical Double Carbine Long Rifle Bag Gun Case Firearm Backpack Pistol Handgun Case - Lockable Zipper  Padded Side Carry Strap  Available Length in 36" 42" 46" 51" 55"" ,"Savior Equipment" ,"Sports & Outdoors" ,"$167,482.62" ,"2,538" ,"$65.99" ,"N.A." ,"N.A." ,"1,701" ,"1197" ,"4" ,"1" ,"VIPMOTOZ" ,"4.9" ,"0.00" x 0.00" x 0.00"" ,"N.A." ,"8 lbs"
"B07FY25QG8" ,"Savior Equipment Urban Warfare Tactical Double Carbine Long Rifle Bag Gun Case Firearm Backpack Pistol Handgun Case - Lockable Zipper  Padded Side Carry Strap  Available Length in 36" 42" 46" 51" 55"" ,"Savior Equipment" ,"Sports & Outdoors" ,"$166,690.74" ,"2,526" ,"$65.99" ,"N.A." ,"N.A." ,"1,786" ,"1203" ,"4" ,"1" ,"VIPMOTOZ" ,"4.9" ,"0.00" x 0.00" x 0.00"" ,"N.A." ,"7 lbs"
"B07YH2LB9R" ,"Tommy Bahama 5-Position Classic Lay Flat Folding Backpack Beach Chair" ,"Tommy Bahama" ,"Sports & Outdoors" ,"$161,080.80" ,"3,280" ,"$49.11" ,"$18.46" ,"$30.65" ,"627" ,"5" ,"4" ,"1" ,"Amazon.com" ,"3.5" ,"5.00" x 26.00" x 30.00"" ,"Oversize (Small)" ,"9.7995 lbs"
"B016MXIXF2" ,"DJI Mavic 2 Pro Drone Quadcopter with Fly More Combo  Waterproof Hard Case and Backpack  Hasselblad Camera  3 Batteries  ND Filters  Tablet Mount  128GB SD Card  Landing Pad  VR Goggles Bundle Kit" ,"DJI" ,"Toys & Games" ,"$155,999.22" ,"78" ,"$1,999.99" ,"N.A." ,"N.A." ,"43,012" ,"102" ,"5" ,"1" ,"Koozam - Same Day Shipping" ,"4.3" ,"N.A." ,"N.A." ,"N.A."
"B07P91RQVD" ,"YETI Hopper Backflip 24 Soft Sided Cooler/Backpack" ,"YETI" ,"Sports & Outdoors" ,"$155,994.80" ,"520" ,"$299.99" ,"$55.16" ,"$244.83" ,"6,805" ,"201" ,"5" ,"1" ,"YETI Authorized" ,"4.7" ,"11.25" x 15.00" x 21.00"" ,"Oversize (Small)" ,"7.3502 lbs"
"B01EFIX5RC" ,"Chapin International 61500 Backpack Sprayer for Fertilizer  4 gal" ,"Chapin International" ,"Patio, Lawn & Garden" ,"$153,549.20" ,"2,135" ,"$71.92" ,"N.A." ,"N.A." ,"6,564" ,"757" ,"3" ,"11" ,"Lighting Sales LLC" ,"4.4" ,"N.A." ,"N.A." ,"0.5 lbs"
"B00TX0EO2S" ,"ProTeam Backpack Vacuums  Super CoachVac Commercial Backpack Vacuum Cleaner with HEPA Media Filtration and Small Business Tool Kit  10 Quart  Corded" ,"ProTeam" ,"Industrial & Scientific" ,"$150,756.72" ,"372" ,"$405.26" ,"$65.12" ,"$340.14" ,"3,038" ,"392" ,"4" ,"2" ,"Amazon.com" ,"4.5" ,"32.10" x 13.70" x 13.60"" ,"Oversize (Small)" ,"24 lbs"
"B01IFJ4GB6" ,"ProTeam Backpack Vacuums  Super CoachVac Commercial Backpack Vacuum Cleaner with HEPA Media Filtration and Small Business Tool Kit  10 Quart  Corded" ,"ProTeam" ,"Industrial & Scientific" ,"$150,756.72" ,"372" ,"$405.26" ,"N.A." ,"N.A." ,"4,501" ,"392" ,"5" ,"2" ,"Amazon.com" ,"4.5" ,"N.A." ,"N.A." ,"N.A."
"B07BR6VK8J" ,"YETI Hopper Backflip 24 Soft Sided Cooler/Backpack" ,"YETI" ,"Sports & Outdoors" ,"$146,995.10" ,"490" ,"$299.99" ,"$55.33" ,"$244.66" ,"8,308" ,"202" ,"3" ,"1" ,"YETI Authorized" ,"4.7" ,"11.30" x 14.70" x 20.60"" ,"Oversize (Small)" ,"7.8 lbs"
"B07P6RXBQP" ,"YETI Hopper Backflip 24 Soft Sided Cooler/Backpack" ,"YETI" ,"Sports & Outdoors" ,"$144,595.18" ,"482" ,"$299.99" ,"$55.16" ,"$244.83" ,"8,218" ,"202" ,"3" ,"1" ,"YETI Authorized" ,"4.7" ,"11.25" x 15.00" x 21.00"" ,"Oversize (Small)" ,"7.3502 lbs"
"B07H5WT1H9" ,"DJI Mavic 2 Pro Drone Quadcopter with Fly More Combo  Waterproof Hard Case and Backpack  Hasselblad Camera  3 Batteries  ND Filters  Tablet Mount  128GB SD Card  Landing Pad  VR Goggles Bundle Kit" ,"DJI" ,"Toys & Games" ,"$143,999.28" ,"72" ,"$1,999.99" ,"$313.33" ,"$1,686.66" ,"56,719" ,"102" ,"4" ,"1" ,"Koozam - Same Day Shipping" ,"4.3" ,"11.70" x 13.60" x 18.30"" ,"Oversize (Small)" ,"15.6991 lbs"
"B01N2BJMJY" ,"DJI Mavic 2 Pro Drone Quadcopter with Fly More Combo  Waterproof Hard Case and Backpack  Hasselblad Camera  3 Batteries  ND Filters  Tablet Mount  128GB SD Card  Landing Pad  VR Goggles Bundle Kit" ,"DJI" ,"Toys & Games" ,"$143,999.28" ,"72" ,"$1,999.99" ,"N.A." ,"N.A." ,"55,087" ,"102" ,"5" ,"1" ,"Koozam - Same Day Shipping" ,"4.3" ,"0.00" x 0.00" x 0.00"" ,"N.A." ,"12 lbs"
"B077SQZFNL" ,"DJI Mavic 2 Pro Drone Quadcopter with Fly More Combo  Waterproof Hard Case and Backpack  Hasselblad Camera  3 Batteries  ND Filters  Tablet Mount  128GB SD Card  Landing Pad  VR Goggles Bundle Kit" ,"DJI" ,"Toys & Games" ,"$143,999.28" ,"72" ,"$1,999.99" ,"N.A." ,"N.A." ,"55,087" ,"102" ,"7" ,"1" ,"Koozam - Same Day Shipping" ,"4.3" ,"0.00" x 0.00" x 0.00"" ,"N.A." ,"0 lbs"
"B06W51PC57" ,"DJI Mavic 2 Pro Drone Quadcopter with Fly More Combo  Waterproof Hard Case and Backpack  Hasselblad Camera  3 Batteries  ND Filters  Tablet Mount  128GB SD Card  Landing Pad  VR Goggles Bundle Kit" ,"DJI" ,"Toys & Games" ,"$143,999.28" ,"72" ,"$1,999.99" ,"N.A." ,"N.A." ,"51,437" ,"102" ,"5" ,"1" ,"Koozam - Same Day Shipping" ,"4.3" ,"0.00" x 0.00" x 0.00"" ,"N.A." ,"0 lbs"
"B07CJ2V2XG" ,"Chapin International 61500 Backpack Sprayer for Fertilizer  4 gal" ,"Chapin International" ,"Patio, Lawn & Garden" ,"$143,708.88" ,"2,712" ,"$52.99" ,"N.A." ,"N.A." ,"3,894" ,"751" ,"3" ,"10" ,"Amazon.com" ,"4.4" ,"0.00" x 0.00" x 0.00"" ,"N.A." ,"0 lbs"
"B01KJMK4W2" ,"REEBOW GEAR Military Tactical Backpack Large Army 3 Day Assault Pack Molle Bag Backpacks…" ,"REEBOW GEAR" ,"Sports & Outdoors" ,"$143,684.07" ,"3,593" ,"$39.99" ,"$14.43" ,"$25.56" ,"618" ,"2377" ,"4" ,"1" ,"CASJ" ,"4.6" ,"2.50" x 14.00" x 20.30"" ,"Oversize (Small)" ,"2.7999 lbs"
"B01KJMDK1E" ,"REEBOW GEAR Military Tactical Backpack Large Army 3 Day Assault Pack Molle Bag Backpacks…" ,"REEBOW GEAR" ,"Sports & Outdoors" ,"$143,284.17" ,"3,583" ,"$39.99" ,"$14.55" ,"$25.44" ,"615" ,"2377" ,"4" ,"3" ,"Costa-inc" ,"4.6" ,"21.00" x 13.20" x 2.50"" ,"Oversize (Small)" ,"3.1 lbs"
"B010NPU2IQ" ,"ProTeam Commercial Backpack Vacuum Cleaner  Super CoachVac Vacuum Backpack with HEPA Media Filtration and Residential Cleaning Service Kit  10 Quart  Corded" ,"ProTeam" ,"Industrial & Scientific" ,"$141,209.28" ,"288" ,"$490.31" ,"$75.40" ,"$414.91" ,"5,341" ,"391" ,"4" ,"1" ,"easy-to-open packaging" ,"4.5" ,"32.25" x 13.50" x 14.00"" ,"Oversize (Small)" ,"24.2 lbs"
"B002FU5SKU" ,"Husqvarna 965877502 350BT 2-Cycle Gas Backpack Blower  Orange" ,"Husqvarna" ,"Patio, Lawn & Garden" ,"$139,568.85" ,"423" ,"$329.95" ,"$66.74" ,"$263.21" ,"11,856" ,"1197" ,"3" ,"10" ,"Amazon.com" ,"4.5" ,"15.00" x 19.00" x 20.00"" ,"Oversize (Small)" ,"25.9991 lbs"
"B01NGTIARO" ,"ProTeam Commercial Backpack Vacuum  Super CoachVac Vacuum Backpack with HEPA Media Filtration and Xover Multi-Surface 2-Piece Wand Tool Kit  10 quart  Corded" ,"ProTeam" ,"Industrial & Scientific" ,"$138,127.32" ,"372" ,"$371.31" ,"N.A." ,"N.A." ,"3,275" ,"392" ,"4" ,"1" ,"Amazon.com" ,"4.5" ,"N.A." ,"N.A." ,"N.A."
"B00GM4YKWC" ,"ProTeam Backpack Vacuums  Super CoachVac Commercial Backpack Vacuum Cleaner with HEPA Media Filtration and Telescoping Wand Tool Kit  10 Quart  Corded" ,"ProTeam" ,"Industrial & Scientific" ,"$137,800.96" ,"352" ,"$391.48" ,"$63.26" ,"$328.22" ,"3,038" ,"392" ,"4" ,"1" ,"easy-to-open packaging" ,"4.5" ,"32.52" x 13.50" x 13.50"" ,"Oversize (Small)" ,"23.45 lbs"
